Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
D_flat,0.424048513,0.461856335,-0.168053627,0.425489843,0.447256088,-0.14867118,0.428596675,0.445797741,-0.148732886,0.431858838,0.444071084,-0.148868114,0.417537123,0.449979007,-0.150985092,0.415074289,0.450694412,-0.151021108,0.41267547,0.451251209,-0.151133552,0.434750944,0.448229462,-0.046614248,0.407036632,0.459118307,-0.054385655,0.430654913,0.474107265,-0.128988102,0.420843035,0.476567686,-0.131749555,0.45885244,0.514117002,-0.006014877,0.394808203,0.518703997,-0.10140495,0.479102194,0.431306928,-0.051038206,0.427393734,0.423562497,-0.247221783,0.484019578,0.319337189,-0.088638373,0.468323946,0.348029941,-0.282321185,0.490247637,0.282358348,-0.112716481,0.481089115,0.306376159,-0.322959781,0.486044019,0.279219925,-0.116510376,0.477209181,0.302331507,-0.308681607,0.482876599,0.294839442,-0.095211811,0.470802069,0.326710701,-0.283477336,0.477203906,0.777103603,0.022876719,0.423141301,0.80085212,-0.022798795,0.550094962,0.915719748,-0.070542008,0.434514463,0.990997136,-0.057480801,0.60308367,1.007932901,0.101780891,0.432942301,1.127852917,0.149270073,0.607541561,1.011674643,0.115327574,0.435868651,1.137319684,0.166261196,0.646210611,1.021940112,0.015753148,0.441421032,1.198491096,0.057482541
D_flat,0.423620403,0.459286153,-0.204944134,0.425283015,0.443891943,-0.182376176,0.428437859,0.442435324,-0.182412252,0.431670249,0.440929621,-0.182523504,0.416826099,0.447812408,-0.186526775,0.414093345,0.449129879,-0.186547235,0.411343247,0.450170904,-0.186616838,0.4345254,0.446524739,-0.070558958,0.404803902,0.458299458,-0.088699564,0.430423319,0.471433967,-0.163675442,0.419970661,0.474884927,-0.169439301,0.458857864,0.514334559,-0.030442813,0.3936086,0.518703818,-0.125211313,0.479099661,0.427580088,-0.097000994,0.397329152,0.418448567,-0.305050433,0.484019905,0.315618604,-0.158287346,0.445744425,0.356762767,-0.37728411,0.49019891,0.27930367,-0.185211748,0.460064411,0.324948281,-0.419950306,0.485958099,0.27725327,-0.186771542,0.462382615,0.315382779,-0.40229997,0.48273927,0.292931944,-0.164465427,0.461487591,0.329633325,-0.378028929,0.476749361,0.777106166,0.022911387,0.423060089,0.800956488,-0.022838952,0.550332844,0.917350411,-0.062976062,0.433140367,0.985275269,-0.040274814,0.599828064,1.004652262,0.121581353,0.432941139,1.127950072,0.149179995,0.611808479,1.024621367,0.134911269,0.435945451,1.138949275,0.164201215,0.643413365,1.021851182,0.025453236,0.440666914,1.198485255,0.040626828
D_flat,0.423621476,0.457447588,-0.205249697,0.425285816,0.442038864,-0.182321131,0.428445101,0.44074288,-0.182357654,0.431670755,0.439479411,-0.182462573,0.416713178,0.446221024,-0.186951861,0.413894027,0.447837025,-0.18697238,0.411030382,0.449189633,-0.187043369,0.434486955,0.446031839,-0.070526168,0.404117882,0.45783326,-0.090995386,0.430431664,0.470003545,-0.164153948,0.419878542,0.47385183,-0.170567304,0.458856285,0.514600396,-0.031833701,0.393205047,0.519415081,-0.132007182,0.479070514,0.425955623,-0.099032447,0.392326236,0.415684223,-0.320923716,0.48405686,0.313780487,-0.160401493,0.443376362,0.359573394,-0.397157997,0.490174145,0.277522266,-0.186288998,0.456569284,0.330190182,-0.439824998,0.485915422,0.275919378,-0.188057601,0.458839804,0.320563495,-0.420983642,0.482683003,0.29160282,-0.166683823,0.458735287,0.331765711,-0.397284389,0.476400614,0.77714318,0.023213238,0.422896564,0.801116586,-0.023155067,0.550517499,0.918420851,-0.053258717,0.432366282,0.981842101,-0.032454785,0.598662078,1.002788663,0.127340406,0.432876885,1.127974391,0.149237439,0.614075541,1.027331352,0.140111014,0.435938656,1.139688969,0.163611516,0.64285785,1.021280885,0.030563504,0.440017372,1.198475242,0.037870802
D_flat,0.423741877,0.456366599,-0.199582487,0.42543751,0.44095403,-0.176810652,0.428593457,0.439738154,-0.176856056,0.431750953,0.438560963,-0.176967055,0.416711152,0.445171773,-0.181145102,0.413855791,0.446914166,-0.181165606,0.41092068,0.44842732,-0.181236833,0.434457004,0.445072562,-0.066871352,0.403761625,0.457235038,-0.085571758,0.430483431,0.46905157,-0.159189299,0.419853359,0.473011047,-0.16510357,0.458900511,0.514891446,-0.031403579,0.392679244,0.520375371,-0.125803202,0.479061663,0.425508767,-0.100178257,0.390726298,0.415644079,-0.29917568,0.484080255,0.313422978,-0.167258099,0.424881935,0.336882204,-0.366515696,0.490166754,0.276951253,-0.194691807,0.431110859,0.324108303,-0.408117205,0.485918522,0.275055498,-0.197154224,0.435377777,0.318628579,-0.391397119,0.482682794,0.290850759,-0.174115598,0.435346425,0.328481257,-0.367256284,0.476097584,0.777152598,0.023166537,0.422732502,0.80141449,-0.023108248,0.550808549,0.919034004,-0.053254418,0.432273716,0.979727149,-0.028573349,0.598851621,1.001831174,0.12214867,0.432190239,1.127975345,0.157716051,0.617913187,1.02698946,0.135073423,0.435297877,1.140099287,0.170960933,0.643388629,1.017102122,0.030014176,0.438279778,1.19819808,0.041788772
D_flat,0.423743188,0.455628365,-0.200937912,0.425445795,0.440338165,-0.177773476,0.428597122,0.439153641,-0.177817583,0.43174696,0.437991172,-0.177926674,0.416676283,0.4445149,-0.182244003,0.41378364,0.446260422,-0.182261735,0.410797596,0.44778654,-0.182327226,0.434219927,0.444568843,-0.066787437,0.403526634,0.456566155,-0.085704327,0.430472463,0.468246073,-0.160173923,0.41975069,0.472254604,-0.16614005,0.458847135,0.514954448,-0.031741537,0.392133981,0.52038306,-0.126238495,0.478744417,0.424689174,-0.102248624,0.39141947,0.415161431,-0.304097116,0.483968496,0.313164979,-0.172499746,0.426359326,0.329339802,-0.376923859,0.48990941,0.276507705,-0.200710014,0.432598531,0.319754273,-0.419518292,0.485786349,0.274532855,-0.203201264,0.442648113,0.318191111,-0.402680635,0.48255986,0.290355355,-0.17942147,0.443050563,0.333459884,-0.37759611,0.475907892,0.777107835,0.023173444,0.422614515,0.801463723,-0.023115532,0.550989747,0.919225931,-0.053951204,0.432220638,0.979460895,-0.029689977,0.598786891,1.000770688,0.120880045,0.432144493,1.127743483,0.163516134,0.618662596,1.028049946,0.133486003,0.435243458,1.140085578,0.177454159,0.643462837,1.017080307,0.028212022,0.438252747,1.197424769,0.052613597
D_flat,0.42331019,0.455593735,-0.215766504,0.425079763,0.440291226,-0.193584383,0.428232849,0.439058512,-0.193623334,0.431348175,0.437840283,-0.193725452,0.416212082,0.444476962,-0.197260678,0.413273722,0.446206063,-0.197283208,0.410264909,0.447716832,-0.197350428,0.433636993,0.44432357,-0.083181202,0.403068691,0.456446409,-0.09855713,0.430109322,0.468127102,-0.174979657,0.41928944,0.472083539,-0.179860637,0.458650917,0.514959097,-0.048820887,0.391957551,0.520382643,-0.139798254,0.478445619,0.42466864,-0.140335366,0.391904384,0.415354311,-0.328224212,0.483676195,0.313216358,-0.230401069,0.434052467,0.353592247,-0.410347879,0.489523262,0.276137382,-0.261949927,0.435131013,0.319278717,-0.453466594,0.485436827,0.274288803,-0.263762534,0.449819654,0.322811693,-0.437200159,0.482198089,0.290308565,-0.237415105,0.447989464,0.33589837,-0.411147684,0.475792825,0.777108252,0.023176894,0.422593415,0.801476359,-0.023121158,0.550884366,0.919270337,-0.054904949,0.432168573,0.979100525,-0.029784709,0.597925186,1.000588894,0.120589629,0.43201074,1.127763867,0.161439925,0.617865086,1.030148029,0.13305518,0.435146242,1.140348434,0.175964266,0.643310428,1.017012954,0.026933536,0.437882483,1.197487473,0.051370911
D_flat,0.423077911,0.455512792,-0.207362026,0.424835861,0.440142006,-0.185715944,0.428000391,0.438863873,-0.185758948,0.431111336,0.437580734,-0.185871899,0.415875614,0.444347054,-0.189149529,0.412913322,0.446070343,-0.189175621,0.409892857,0.447572201,-0.189253837,0.433328718,0.443934262,-0.077588744,0.402735382,0.456260651,-0.091360509,0.429942608,0.467986435,-0.166956007,0.419035494,0.471919328,-0.1715983,0.458457083,0.514980376,-0.040686578,0.391732186,0.520387888,-0.133699581,0.478138983,0.424486369,-0.125409618,0.391468048,0.415487319,-0.320757657,0.483545691,0.31325224,-0.21298179,0.432931095,0.338672578,-0.404087067,0.489214599,0.275942475,-0.24401471,0.443871737,0.331435889,-0.447755873,0.485159814,0.274137944,-0.246250302,0.452918053,0.324855477,-0.431708276,0.481941164,0.290251434,-0.220093533,0.450591713,0.33744213,-0.40491733,0.475586563,0.777011812,0.023289556,0.422520548,0.801465273,-0.023234053,0.550864995,0.919564128,-0.055735756,0.43214488,0.978406072,-0.028977141,0.597982228,1.002046704,0.101179764,0.431955487,1.127810121,0.160943031,0.617369533,1.038097143,0.110959277,0.435044914,1.140596986,0.175135076,0.643344998,1.019210339,-0.001073089,0.43787995,1.197463989,0.052216999
D_flat,0.42304197,0.455223173,-0.210084558,0.424678653,0.439876646,-0.187994033,0.427808195,0.43856442,-0.188038439,0.430875719,0.437214971,-0.188139886,0.415750831,0.444121927,-0.192135632,0.412800968,0.44585979,-0.19215332,0.40980491,0.447372049,-0.192222878,0.432890594,0.44363758,-0.078436479,0.40267238,0.456181854,-0.095481217,0.429913849,0.467646271,-0.169425607,0.419008493,0.471676588,-0.174889475,0.458419085,0.515204191,-0.04640219,0.391735733,0.520553529,-0.142530113,0.477902412,0.424466014,-0.149254143,0.392021567,0.415540069,-0.346130311,0.483280599,0.313288659,-0.249583155,0.445722014,0.344890118,-0.436592638,0.488947242,0.27586785,-0.282969952,0.462435395,0.316898078,-0.481200457,0.484963477,0.274148345,-0.283786237,0.460036904,0.321270406,-0.464648902,0.481612027,0.290318161,-0.256413877,0.456589937,0.335309952,-0.437215388,0.475578368,0.777007043,0.023584859,0.422518164,0.80146867,-0.02353802,0.550966859,0.920631826,-0.056213282,0.43203631,0.97814244,-0.028432542,0.597989142,1.003165841,0.097730175,0.432102382,1.127958536,0.166449055,0.617177904,1.043337107,0.107724264,0.435174406,1.140829921,0.180930167,0.643113136,1.026546955,-0.004236332,0.437980831,1.197464705,0.062265325
D_flat,0.422939122,0.455248177,-0.208141655,0.424629062,0.439914376,-0.185691923,0.427773625,0.438602865,-0.185736507,0.43084684,0.437251121,-0.185841218,0.415605962,0.444135398,-0.189806208,0.412622303,0.445862085,-0.189827636,0.409598738,0.447365642,-0.18989338,0.432867706,0.443651378,-0.075445697,0.402428776,0.456182301,-0.092050925,0.429838032,0.467666298,-0.167006359,0.418827206,0.471680909,-0.17247501,0.458423942,0.515358865,-0.042497981,0.391666859,0.520979524,-0.138451517,0.477813184,0.424260587,-0.140863135,0.390988618,0.415630072,-0.333347589,0.483277023,0.313291192,-0.235879898,0.435092211,0.337079316,-0.429067433,0.488921314,0.275784522,-0.269234091,0.457466453,0.331629336,-0.474215597,0.484951258,0.274119824,-0.270347804,0.458480656,0.325029284,-0.458492458,0.48158294,0.290316284,-0.24279055,0.456355512,0.337147892,-0.43056044,0.475582749,0.77700913,0.023417868,0.422519833,0.801527321,-0.023368748,0.551437736,0.922557414,-0.062493287,0.431923866,0.978224933,-0.029961571,0.597654939,1.00336504,0.0999754,0.432838142,1.128315806,0.165377781,0.616999686,1.046845913,0.110604092,0.436131179,1.141525269,0.180268943,0.642238677,1.030160666,0.000575032,0.438680351,1.197601795,0.058384724
D_flat,0.422982275,0.4554829,-0.209741279,0.424663484,0.440193981,-0.187996298,0.427805126,0.438895762,-0.188029513,0.430867672,0.437558711,-0.188126311,0.415607214,0.444335759,-0.193670616,0.412619829,0.446018547,-0.193699151,0.409592927,0.447478443,-0.193780437,0.432807684,0.443860233,-0.077111661,0.40233025,0.456237823,-0.102204859,0.429837644,0.467869699,-0.168194726,0.418814361,0.471813023,-0.175766379,0.458389342,0.515551448,-0.04054049,0.391494006,0.521109521,-0.150607809,0.477657855,0.424203753,-0.128894433,0.391158551,0.414907753,-0.360146224,0.483259916,0.313245803,-0.211396962,0.448445559,0.344260186,-0.447514594,0.488922536,0.275702983,-0.242093951,0.462861925,0.329870135,-0.492822021,0.484956175,0.274036795,-0.24385877,0.463645279,0.323343724,-0.473332554,0.481568664,0.290252477,-0.218213111,0.457979351,0.339241803,-0.447148889,0.475571096,0.777135134,0.025074795,0.42251873,0.801890552,-0.025045317,0.551728368,0.923638165,-0.061948806,0.431778342,0.978257775,-0.032710996,0.597588778,1.003350735,0.110459067,0.432965815,1.130307317,0.164062873,0.616897225,1.047539115,0.122503087,0.436225891,1.143360257,0.178878188,0.641192079,1.031015038,0.01016601,0.438931555,1.19899559,0.057892747
